npsn,nama,alamat,kecamatan,kabupaten,provinsi,bentuk_pendidikan,status_sekolah,latitude,longitude
40202605,SMP NEGERI 1 BUNGKU TIMUR,"KOLONO, KEC. BUNGKU TIMUR",Kec. Bungku Timur,Kab. Morowali,Prov. Sulawesi Tengah,SMP,NEGERI,-2.6789,122.003
40202738,SD NEGERI KOLONO,Kolono,Kec. Bungku Timur,Kab. Morowali,Prov. Sulawesi Tengah,SD,NEGERI,-2.6776,122.0059
40202646,SMAS AL-KHAIRAAT KOLONO,JL. LAGATA NO.5 DESA KOLONO KEC.BUNGKU TIMUR,Kec. Bungku Timur,Kab. Morowali,Prov. Sulawesi Tengah,SMA,SWASTA,-2.6764,122.0077
40202805,SD NEGERI GERESA,Jln. Trans Sulawesi Geresa Kec. Bungku Timur,Kec. Bungku Timur,Kab. Morowali,Prov. Sulawesi Tengah,SD,NEGERI,-2.6728,122.0112
69920368,TK. ALKHAIRAAT GERESA,DESA GERESA,Kec. Bungku Timur,Kab. Morowali,Prov. Sulawesi Tengah,TK,SWASTA,-2.671362,122.014678
69888389,SD NEGERI 15 BUNGKU,Lanona,Kec. Bungku Tengah,Kab. Morowali,Prov. Sulawesi Tengah,SD,NEGERI,-2.633611,121.842706
40202782,SD NEGERI BAKALA,Bakala,Kec. Bungku Selatan,Kab. Morowali,Prov. Sulawesi Tengah,SD,NEGERI,-2.6531,122.0189
40202758,SD NEGERI LAROUE,JLN. TRANS SULAWESI KEC.BUNGKU TIMUR,Kec. Bungku Timur,Kab. Morowali,Prov. Sulawesi Tengah,SD,NEGERI,-2.654,122.0196
40204893,SMP NEGERI 4 BUNGKU TIMUR SATU ATAP,Kab. Morowali,Kec. Bungku Timur,Kab. Morowali,Prov. Sulawesi Tengah,SMP,NEGERI,-2.6528,122.019
40202562,SD NEGERI NAMBO,Jalan Trans Sulawesi Desa Nambo Kecamatan Bungku Timur,Kec. Bungku Timur,Kab. Morowali,Prov. Sulawesi Tengah,SD,NEGERI,-2.6436,122.0129
70038339,KB BINTANG PUTRI MOROWALI,Bahodopi,Kec. Bahodopi,Kab. Morowali,Prov. Sulawesi Tengah,KB,SWASTA,-2.6065,120.9822
40202780,SD NEGERI 12 BUNGKU,Bahontobungku,Kec. Bungku Tengah,Kab. Morowali,Prov. Sulawesi Tengah,SD,NEGERI,-2.5989,121.8601
40202594,SMP NEGERI 2 BUNGKU TIMUR,Lahuafu,Kec. Bungku Timur,Kab. Morowali,Prov. Sulawesi Tengah,SMP,NEGERI,-2.6139,121.9931
40202620,SD NEGERI UNSONGI,"Jln.Trans Sulawesi,Unsongi,Kec.Bungku Timur",Kec. Bungku Timur,Kab. Morowali,Prov. Sulawesi Tengah,SD,NEGERI,-2.6256,121.9997
40202768,SD NEGERI LAHUAFU,Jalan Pendidikan No.71 Lahuafu Kecamatan Bungku Timur,Kec. Bungku Timur,Kab. Morowali,Prov. Sulawesi Tengah,SD,NEGERI,-2.6139,121.9933
40202507,SD NEGERI 05 BUNGKU,Jl. Trans Sulawesi,Kec. Bungku Tengah,Kab. Morowali,Prov. Sulawesi Tengah,SD,NEGERI,-2.5991,121.9883
69990061,SD NEGERI 17 BUNGKU,TUDUA,Kec. Bungku Tengah,Kab. Morowali,Prov. Sulawesi Tengah,SD,NEGERI,-2.5883,121.9841
69758464,SD NEGERI 16 BUNGKU,Jl. PRODUKSI KOMPLEKS PERUMAHAN GRIYA BUKIT IPI PERMAI,Kec. Bungku Tengah,Kab. Morowali,Prov. Sulawesi Tengah,SD,NEGERI,-2.5457,121.8601
69923106,TK. ALKHAIRAAT PUUNGKILU,DESA PUUNGKOILU,Kec. Bungku Tengah,Kab. Morowali,Prov. Sulawesi Tengah,TK,SWASTA,-2.5466717,121.9408055
40202497,SD NEGERI 07 BUNGKU,Sakita,Kec. Bungku Tengah,Kab. Morowali,Prov. Sulawesi Tengah,SD,NEGERI,-2.5602,121.9621
60723448,MIS AL KHAIRAAT SAKITA,JL. FAFONTORIKA,Kec. Bungku Tengah,Kab. Morowali,Prov. Sulawesi Tengah,MI,SWASTA,-2.5594,121.9622
40204663,SMKN 1 BUNGKU TENGAH,PENDIDIKAN,Kec. Bungku Tengah,Kab. Morowali,Prov. Sulawesi Tengah,SMK,NEGERI,-2.5627,121.9746
40202664,SD NEGERI 01 BUNGKU,"Kel. Mendui, Kec. Bungku Tengah",Kec. Bungku Tengah,Kab. Morowali,Prov. Sulawesi Tengah,SD,NEGERI,-2.5507,121.9691
40202642,SMAN 1 BUNGKU,JL. GARUDA,Kec. Bungku Tengah,Kab. Morowali,Prov. Sulawesi Tengah,SMA,NEGERI,-2.5521,121.9732
40202682,SD NEGERI 03 BUNGKU,Jl. Teratai No. 7,Kec. Bungku Tengah,Kab. Morowali,Prov. Sulawesi Tengah,SD,NEGERI,-2.5508,121.9745
40202575,SMP NEGERI 1 BUNGKU,Jalan Wirabuana,Kec. Bungku Tengah,Kab. Morowali,Prov. Sulawesi Tengah,SMP,NEGERI,-2.5456,121.9711
