npsn,nama,alamat,kecamatan,kabupaten,provinsi,bentuk_pendidikan,status_sekolah,latitude,longitude
69913171,KB CUT MUTIA,JL. YOS SUDARSO NO. 8,Kec. Mantikulore,Kota Palu,Prov. Sulawesi Tengah,KB,SWASTA,-0.877858,119.87276
P9962784,SKB KASINTUVU,JL. YOS SUDARSO NO. 8,Kec. Mantikulore,Kota Palu,Prov. Sulawesi Tengah,SKB,NEGERI,-0.878,119.8728
40203626,SMKN 7 PALU, JL. KOMODO NO. 78 TALISE,Kec. Mantikulore,Kota Palu,Prov. Sulawesi Tengah,SMK,NEGERI,-0.8775,119.8729
40203527,SD NEGERI 2 TALISE,Jl. Yos Sudarso No. 08,Kec. Mantikulore,Kota Palu,Prov. Sulawesi Tengah,SD,NEGERI,-0.8775,119.8729
40203753,SDN INPRES 2 TALISE,Jl. Yos Sudarso No. 8,Kec. Mantikulore,Kota Palu,Prov. Sulawesi Tengah,SD,NEGERI,-0.8777,119.8731
40203543,SD NEGERI 22 PALU,Jl. Letjen. Soeprapto No. 55B,Kec. Palu Timur,Kota Palu,Prov. Sulawesi Tengah,SD,NEGERI,-0.8845,119.8751
40203759,SD INPRES BUMI SAGU,Jl. Suprapto No. 55,Kec. Palu Timur,Kota Palu,Prov. Sulawesi Tengah,SD,NEGERI,-0.8842,119.8755
40203535,SD NEGERI 15 PALU,Jl. Letjen Suprapto No.55,Kec. Palu Timur,Kota Palu,Prov. Sulawesi Tengah,SD,NEGERI,-0.8841,119.8757
163027  ,STMIK Bina Mulia,Jalan Soeprapto No 38 ,Kec. Palu Barat,Kota Palu,Prov. Sulawesi Tengah,Sekolah Tinggi,SWASTA,-0.8867362,119.8756893
40205532,TK NURUL JAMIAH,JL. KAMBOJA NO. 26 PALU,Kec. Mantikulore,Kota Palu,Prov. Sulawesi Tengah,TK,SWASTA,-0.8807,119.8757
40205543,TK TUNAS RIMBA,JL. S.PARMAN,Kec. Palu Timur,Kota Palu,Prov. Sulawesi Tengah,TK,SWASTA,-0.8881,119.8769
P9998245,PKBM BUMI SAGU,Jl. Nangka No. 16 A,Kec. Mantikulore,Kota Palu,Prov. Sulawesi Tengah,PKBM,SWASTA,-0.8865,119.8773
40203604,SMKS PANCASILA PALU,JL. SETIABUDI LR. MERDEKA,Kec. Mantikulore,Kota Palu,Prov. Sulawesi Tengah,SMK,SWASTA,-0.8865,119.8802
40203667,SD INPRES 1 TALISE,Jl. Tombolotutu No. 125,Kec. Mantikulore,Kota Palu,Prov. Sulawesi Tengah,SD,NEGERI,-0.8842,119.8804
69963711,KB JALASENA,JL. YOS SUDARSO NO 30,Kec. Mantikulore,Kota Palu,Prov. Sulawesi Tengah,KB,SWASTA,-0.8718,119.8759
69964183,SMK YADIKA PALU,JL. HANGTUAH NO. 58 PALU,Kec. Mantikulore,Kota Palu,Prov. Sulawesi Tengah,SMK,SWASTA,-0.876,119.8793
40210098,MTSS PUTRI AISYIYAH PALU,JL. HANGTUAH NO. 104,Kec. Palu Timur,Kota Palu,Prov. Sulawesi Tengah,MTs,SWASTA,-0.873,119.878
60723516,MIS PUTRI AISYIYAH,JL. HANGTUAH NO. 104 PALU,Kec. Palu Timur,Kota Palu,Prov. Sulawesi Tengah,MI,SWASTA,-0.8734,119.8783
40205499,TK AISYIYAH III,JL. HANG  TUAH NO. 104,Kec. Mantikulore,Kota Palu,Prov. Sulawesi Tengah,TK,SWASTA,-0.872537,119.877736
40209857,MAS PUTRI AISYIYAH PALU,JL. HANGTUAH NO. 104 PALU,Kec. Palu Timur,Kota Palu,Prov. Sulawesi Tengah,MA,SWASTA,-0.8729,119.878
