npsn,nama,alamat,kecamatan,kabupaten,provinsi,bentuk_pendidikan,status_sekolah,latitude,longitude
60727744,MTSS AL-KHAERAAT PEBATAE,DESA PEBATAE,Kec. Bumi Raya,Kab. Morowali,Prov. Sulawesi Tengah,MTs,SWASTA,-2.250701,121.691011
69922424,TK. ABA LIMBOMAKMUR,Desa Limbo Makmur,Kec. Bumi Raya,Kab. Morowali,Prov. Sulawesi Tengah,TK,SWASTA,-2.253762,121.693926
69786219,SMKS NURUL UMMAH,Jln. Ahmad Yani Blok HH No. 05,Kec. Bumi Raya,Kab. Morowali,Prov. Sulawesi Tengah,SMK,SWASTA,-2.2469,121.6932
70044388,MAS AL-HIKMAH LAMBELU,Jl. Poros Dusun I Desa Lambelu Kec. Bumi Raya Kab. Morowali,Kec. Bumi Raya,Kab. Morowali,Prov. Sulawesi Tengah,MA,SWASTA,-2.2376,121.6832
60723445,MIS NURUL UMMAH,DESA LAMBELU,Kec. Bumi Raya,Kab. Morowali,Prov. Sulawesi Tengah,MI,SWASTA,-2.2386,121.6876
40210206,MTSS NURUL UMMAH,JL. DAWAH BLOK D NO. 19,Kec. Bumi Raya,Kab. Morowali,Prov. Sulawesi Tengah,MTs,SWASTA,-2.2356,121.6836
40209859,MAS NURUL UMMAH,Jl. Dakwah Blok D No. 19 Desa Lambelu Kec. Bumi Raya Kab. Morowali,Kec. Bumi Raya,Kab. Morowali,Prov. Sulawesi Tengah,MA,SWASTA,-2.2369,121.6868
69971208,Nurul Ummah,Jl. Dakwah Blok D No.19 Lambelu,Kec. Bumi Raya,Kab. Morowali,Prov. Sulawesi Tengah,Pondok Pesantren,SWASTA,-2.2342,121.6876
40202784,SD NEGERI 1 BERINGIN JAYA,Beringin Jaya,Kec. Bumi Raya,Kab. Morowali,Prov. Sulawesi Tengah,SD,NEGERI,-2.2427,121.7024
40202774,SD NEGERI LAMBELU,JALAN KIHAJAR DEWANTARA NO.03 DESA LAMBELU,Kec. Bumi Raya,Kab. Morowali,Prov. Sulawesi Tengah,SD,NEGERI,-2.234,121.6935
69962892,KB INDAH JAYA,Beringin Jaya,Kec. Bumi Raya,Kab. Morowali,Prov. Sulawesi Tengah,KB,SWASTA,-2.239464,121.701389
40202661,SD NEGERI 2 BERINGIN JAYA,Desa Harapan Jaya,Kec. Bumi Raya,Kab. Morowali,Prov. Sulawesi Tengah,SD,NEGERI,-2.2492,121.7232
40202632,SD NEGERI WATA,Desa Wata,Kec. Bungku Barat,Kab. Morowali,Prov. Sulawesi Tengah,SD,NEGERI,-2.2424,121.7272
40204538,SMKN 2 BUNGKU BARAT,JL. TRANS SULAWESI,Kec. Bungku Barat,Kab. Morowali,Prov. Sulawesi Tengah,SMK,NEGERI,-2.2548,121.7564
40202791,SD NEGERI AMBUNU,Desa Ambunu,Kec. Bungku Barat,Kab. Morowali,Prov. Sulawesi Tengah,SD,NEGERI,-2.2549,121.7566
40201334,SLB C HOSANA TENTENA,Kelurahan Pamona Lrg. Kemiri,Kec. Pamona Puselemba,Kab. Poso,Prov. Sulawesi Tengah,SLB,SWASTA,-2.2053,120.7378
40204572,SD NEGERI 2 KOROWOU,Desa Korowou,Kec. Lembo,Kab. Morowali Utara,Prov. Sulawesi Tengah,SD,NEGERI,-2.2247,121.0683
40203929,SD NEGERI KAMUNJANG,Desa Sea,Kec. Mamosalato,Kab. Morowali Utara,Prov. Sulawesi Tengah,SD,NEGERI,-2.2247,121.1154
