npsn,nama,alamat,kecamatan,kabupaten,provinsi,bentuk_pendidikan,status_sekolah,latitude,longitude
40202067,SD NEGERI 12 MOMUNU,Jl. Pendidikan,Kec. Momunu,Kab. Buol,Prov. Sulawesi Tengah,SD,NEGERI,1.0999,121.4041
40202075,SD NEGERI 11 MOMUNU,Panimbul,Kec. Momunu,Kab. Buol,Prov. Sulawesi Tengah,SD,NEGERI,1.0981,121.4141
40202136,SD NEGERI 13 MOMUNU,Desa Mangubi,Kec. Momunu,Kab. Buol,Prov. Sulawesi Tengah,SD,NEGERI,1.1075,121.4085
69772327,SMAN 1 MOMUNU,"Jalan Kali Momunu, Desa Lamadong",Kec. Momunu,Kab. Buol,Prov. Sulawesi Tengah,SMA,NEGERI,1.1132,121.412
40201993,SD NEGERI 4 MOMUNU,Jln. Trans Sulawesi,Kec. Momunu,Kab. Buol,Prov. Sulawesi Tengah,SD,NEGERI,1.1136,121.4116
40202049,SD NEGERI 9 MOMUNU,JLN. SAMATOA,Kec. Momunu,Kab. Buol,Prov. Sulawesi Tengah,SD,NEGERI,1.1043,121.4283
40206501,SMPN 3 Momunu,Ds pomayagon,Kec. Momunu,Kab. Buol,Prov. Sulawesi Tengah,SMP,NEGERI,1.1051,121.4279
40201967,SD NEGERI 7 MOMUNU,Jl. Pendidikan,Kec. Momunu,Kab. Buol,Prov. Sulawesi Tengah,SD,NEGERI,1.1167,121.4206
40202060,SD NEGERI 10 MOMUNU,Jl. Pendidikan,Kec. Momunu,Kab. Buol,Prov. Sulawesi Tengah,SD,NEGERI,1.1132,121.4362
40201959,SD NEGERI 5 MOMUNU,Jl. Gunung Lopak,Kec. Momunu,Kab. Buol,Prov. Sulawesi Tengah,SD,NEGERI,1.1181,121.4146
40202002,SMP NEGERI 1 MOMUNU,"Jl. Tadulako, No. 10",Kec. Momunu,Kab. Buol,Prov. Sulawesi Tengah,SMP,NEGERI,1.1245,121.4151
40201998,SD NEGERI 4 BOKAT,Jl. A. Ellah,Kec. Bokat,Kab. Buol,Prov. Sulawesi Tengah,SD,NEGERI,1.1028,121.4883
40201972,SD NEGERI 7 BOKAT,Jl. Trans Sulawesi,Kec. Bokat,Kab. Buol,Prov. Sulawesi Tengah,SD,NEGERI,1.123,121.4697
40209745,TK SATAP NEGERI LAMA,BOKAT,Kec. Bokat,Kab. Buol,Prov. Sulawesi Tengah,TK,NEGERI,1.123015,121.469733
69812063,SMPN SATAP 5 PALELEH BARAT,Desa Oyak,Kec. Paleleh Barat,Kab. Buol,Prov. Sulawesi Tengah,SMP,NEGERI,1.0973,121.9194
69757936,SMP NEGERI 5 MOMUNU SATAP PINAMULA,"JL. TRANS PINAMULA KEC. MOMUNU KAB. BUOL, SULAWESI TENGAH",Kec. Momunu,Kab. Buol,Prov. Sulawesi Tengah,SMP,NEGERI,1.1275,121.3536
